local-1790212504	main	test-check5-delivers-falls-through.sh	0	21	0	0	parallel
local-1790212504	main	test-auron.sh	0	72	0	0	parallel
local-1790212504	main	test-check5-landed-no-delivers.sh	0	18	0	0	parallel
local-1790212504	main	test-check5-landstate.sh	0	15	0	0	parallel
local-1790212504	main	test-check5-hold-no-reopen.sh	0	34	0	0	parallel
local-1790212504	main	test-check5-landed-assert.sh	0	25	0	0	parallel
local-1790212504	main	test-census-reopen.sh	0	59	0	0	parallel
local-1790212504	main	test-check5-unmapped-repo.sh	0	15	0	0	parallel
local-1790212504	main	test-cockpit-collect-probes.sh	0	1	0	0	parallel
local-1790212504	main	test-cockpit-collector-quota.sh	0	1	0	0	parallel
local-1790212504	main	test-check5-sweep-delivers.sh	0	20	0	0	parallel
local-1790212504	main	test-cockpit-collector-watchdog.sh	0	1	0	0	parallel
local-1790212504	main	test-citations.sh	0	8	0	0	parallel
local-1790212504	main	test-check8-progressed.sh	0	18	0	0	parallel
local-1790212504	main	test-cockpit-layout-conf.sh	0	3	0	0	parallel
local-1790212504	main	test-cockpit-dup-refs.sh	0	8	0	0	parallel
local-1790212504	main	test-cockpit-fuse.sh	0	8	0	0	parallel
local-1790212504	main	test-cockpit-conf-change.sh	0	9	0	0	parallel
local-1790212504	main	test-cockpit-layout-ensure-focus.sh	0	7	0	0	parallel
local-1790212504	main	test-cockpit-mouse.sh	0	1	0	0	parallel
local-1790212504	main	test-cockpit-layout-identity.sh	0	2	0	0	parallel
local-1790212504	main	test-cockpit-landed.sh	0	10	0	0	parallel
local-1790212504	main	test-cockpit-layout-mail.sh	0	3	0	0	parallel
local-1790212504	main	test-batch.sh	0	95	0	0	parallel
local-1790212504	main	test-cockpit-gate.sh	0	15	0	0	parallel
local-1790212504	main	test-cockpit-layout.sh	0	6	0	0	parallel
local-1790212504	main	test-ci-park.sh	0	26	0	0	parallel
local-1790212504	main	test-census-watermark.sh	0	78	0	0	parallel
local-1790212504	main	test-cockpit-probe-fault.sh	0	8	0	0	parallel
local-1790212504	main	test-cockpit-reachable.sh	0	7	0	0	parallel
local-1790212504	main	test-cockpit-ready-seeded.sh	0	7	0	0	parallel
local-1790212504	main	test-cockpit-queue-section.sh	0	14	0	0	parallel
